EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,68947.00000000000000000000000000000000000000000000000000000000,17008.00000000000000000000000000000000000000000000000000000000,51939,19668,14348,0.24668223417987730772260590583755401894450187683105468750
1,79029.00000000000000000000000000000000000000000000000000000000,11949.00000000000000000000000000000000000000000000000000000000,67080,10578,13320,0.15119766161788711356095404880761634558439254760742187500
2,12024.00000000000000000000000000000000000000000000000000000000,1840.00000000000000000000000000000000000000000000000000000000,10184,551,3129,0.15302727877578176096662332383857574313879013061523437500
