EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,68947.00000000000000000000000000000000000000000000000000000000,51939,19668,14348,1766303182987,1766303236989,1276.74310812414751126198098063468933105468750000000000000000
1,79029.00000000000000000000000000000000000000000000000000000000,67080,10578,13320,1766303243457,1766303299828,1401.95030305881778076582122594118118286132812500000000000000
2,12024.00000000000000000000000000000000000000000000000000000000,10184,551,3129,1766303306257,1766303321848,771.20738532411075993877602741122245788574218750000000000000
