EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,68947.00000000000000000000000000000000000000000000000000000000,51939,19668,14348
1,79029.00000000000000000000000000000000000000000000000000000000,67080,10578,13320
2,12024.00000000000000000000000000000000000000000000000000000000,10184,551,3129
