EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,68947.00000000000000000000000000000000000000000000000000000000,51939,19668,14348,175076917,121630321,735219062,229498439,964750.61140856577549129724502563476562500000000000000000000000
1,79029.00000000000000000000000000000000000000000000000000000000,67080,10578,13320,214714134,264277105,1527630358,514427246,2042097.16259038867428898811340332031250000000000000000000000000
2,12024.00000000000000000000000000000000000000000000000000000000,10184,551,3129,14668969,63308110,343371149,128285504,471663.12116948299808427691459655761718750000000000000000000000
