Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,658,658,0,1766303182987,1766303183024,462245,462245,0
2,0,2383,2000,1000,578,1766303188046,1766303188117,10244951,5784817,1978461
3,0,2894,2000,0,631,1766303193054,1766303193115,18919299,0,4055696
4,0,4761,2000,302,383,1766303198077,1766303198148,27006185,2020670,4132679
5,0,5177,2000,894,107,1766303203066,1766303203130,23059119,10428757,896660
6,0,6115,2000,0,685,1766303208075,1766303208144,29958676,0,7952006
7,0,7105,2000,472,521,1766303213087,1766303213146,35396735,5932059,7602255
8,0,7593,2000,594,76,1766303218086,1766303218150,35122915,10433661,1228273
9,0,8437,2000,0,337,1766303223087,1766303223147,43138396,0,5548196
10,0,9211,2000,1244,372,1766303228100,1766303228165,39131154,22964661,6845285
11,0,10229,2000,0,218,1766303233116,1766303233180,46559583,0,4618801
13,1,8244,2000,622,196,1766303243457,1766303243517,60310961,15352992,4954619
14,1,6376,2000,269,92,1766303248108,1766303248174,58488368,7890698,2404473
15,1,6755,2000,809,148,1766303253109,1766303253171,59100870,20394866,3767641
16,1,7330,2000,0,49,1766303258112,1766303258158,60292086,0,1263994
17,1,8320,2000,98,788,1766303263128,1766303263189,67986130,3396594,24631246
18,1,8656,2000,551,422,1766303268145,1766303268225,43223204,11324279,10850883
19,1,9003,2000,0,254,1766303273117,1766303273181,46174209,0,5056048
20,1,9416,2000,592,430,1766303278141,1766303278210,48070342,11494807,9229385
21,1,9890,2000,0,289,1766303283128,1766303283190,48156609,0,6304446
22,1,8842,2000,0,168,1766303288137,1766303288189,57954198,0,4049421
23,1,6849,2000,500,116,1766303293114,1766303293171,51259847,12629093,3072140
24,1,5031,2000,0,135,1766303298136,1766303298190,59682089,0,3152405
26,2,2714,2000,378,101,1766303308147,1766303308213,63768808,11787348,3142281
27,2,805,2000,0,37,1766303313139,1766303313193,72109200,0,1049085
28,2,0,834,21,652,1766303318029,1766303318066,22439414,207389,15620913
29,2,0,0,0,0,1766303322960,1766303322998,0,0,0
30,2,0,0,0,0,1766303327961,1766303328001,0,0,0
31,2,0,0,0,0,1766303332961,1766303333006,0,0,0
