Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,1004,2000,1331,604,1766303186856,1766303186930,8176292,6125283,1745591
2,0,1589,2000,0,175,1766303191906,1766303191970,18702779,0,986188
3,0,2416,2000,946,316,1766303196883,1766303196946,18705678,5188337,2706958
4,0,2645,2000,175,225,1766303201901,1766303201973,20106637,1838428,1336778
5,0,3630,2000,206,327,1766303206934,1766303207003,26711990,1323818,2543687
6,0,3788,2000,645,305,1766303211911,1766303211965,22058020,7340086,2687528
7,0,4772,2000,0,206,1766303216937,1766303216995,31698595,0,2179854
8,0,5225,2000,694,329,1766303221952,1766303222017,27026613,8545018,4031370
9,0,5790,2000,0,210,1766303226954,1766303227005,33962963,0,2906508
10,0,6558,2000,653,610,1766303231913,1766303231984,33454515,8588027,8427457
11,0,7076,2000,631,59,1766303236926,1766303236989,36343804,11452267,1015486
13,1,5122,2000,387,206,1766303246978,1766303247038,51135346,7383528,4016041
14,1,5029,2000,396,35,1766303251950,1766303252011,48129014,9522436,772106
15,1,5944,2000,197,547,1766303256963,1766303257017,57829975,6760089,13802212
16,1,6398,2000,627,803,1766303261922,1766303261993,47520195,11934035,19528751
17,1,7039,2000,0,109,1766303266983,1766303267044,34603166,0,1652511
18,1,7570,2000,0,463,1766303271980,1766303272035,42174190,0,7767700
19,1,7402,2000,509,275,1766303276954,1766303277007,37703859,9270867,4994379
20,1,8210,2000,0,198,1766303281982,1766303282049,45780853,0,3800321
21,1,8261,2000,470,320,1766303286950,1766303287011,46858167,8976059,6189698
22,1,6266,2000,0,0,1766303292006,1766303292066,48419560,0,0
23,1,4439,2000,507,231,1766303296950,1766303297011,51003969,10130748,4949631
25,2,2696,2000,0,59,1766303307010,1766303307069,60117445,0,1686899
26,2,804,2000,21,235,1766303311975,1766303312034,65762215,154812,4507259
27,2,0,811,60,715,1766303316854,1766303316898,18698230,1008859,16224964
28,2,0,15,0,15,1766303321814,1766303321848,71784,0,71784
29,2,0,0,0,0,1766303326813,1766303326858,0,0,0
30,2,0,0,0,0,1766303331814,1766303331863,0,0,0
31,2,0,0,0,0,1766303336815,1766303336863,0,0,0
